No,Judul Berita,Isi Berita,isHoax
11,Metro TV Siarkan Dokter Malaysia Temukan Obat Mata,PENGLIHATAN 100% TANPA OPERASI ATAU LASER! BAHKAN PADA USIA 90 TAHUN. 99% ORANG TIDAK MENGETAHUI HAL INI,TRUE
12,Video Bapak Paus Fransiskus berkunjung ke Kedutaan Besar Takhta Vatikan”,"Bapak Paus FRANSISKUS berkunjung ke kedutaan besar takta vatikan, Jakarta Pusat",TRUE
13,Video Misa Umat Katolik Bersama Bapak Paus Fransiskus di GBK”,Misa Umat Katolik Bersama Bapak Paus Fransiskus Di GBK,TRUE
14,Biopsi Tumor Menyebabkan Kanker Tumbuh Cepat,"Kanker adalah tanda-tanda kita memiliki begitu banyak racun dalam tubuh yang bisa membunuh kita, Jadi tubuh membangun sebuah gelembung yang disebut tumor. Tumor mengumpulkan semua racun dalam satu tempat agar tidak mengganggu kerusakan. Akan sangat berbahaya kalau seseorang menusukan jarum (biopsi), racun menyebar ke sistem tubuh. Akibatnya tiba-tiba Anda memiliki kanker yang tumbuh sangat cepat, kanker yang sangat agresif yang tidak Anda miliki sebelumnya.",TRUE
15,Peningkatan Frekuensi 5G Mengaktifkan Nanopartikel dalam Tubuh yang Sebabkan Cacar Monyet Bagi yang Sudah Vaksin,Agenda Berikutnya – Meningkatkan Frekuensi untuk mengaktifkan nanopartikel dalam tubuh ini akan menyebabkan Cacar Monyet dan kemungkinan bisul/luka pada mereka yang telah Ditandai dengan vx666ine. Wahyu 16:2 Kemudian timbullah bisul yang buruk dan menyakitkan pada semua orang yang mempunyai tanda binatang itu Yang sudaht erlarjur vaxx sebaiknya pulang kampung. jauhi tower dan smartphone 5G!,TRUE
16,Video Seorang Pria Menemukan UFO di Sungai Citarum,"Seorang pemuda alias ( si budak leweng ) ini merasa kaget tetiba menemukan pesawat UFO yang jatuh di sungai citarum. Karena kaget & penasaran, si budak leweng ini coba mendekati & karena tidak ada orang di dalamnya. Akhirnya dia menggunakannya utk menyusuri sungai citarum.",TRUE
17,Artikel CNBC Indonesia: Raja Salman Sebut: Negara Termunafik Nomor Satu Indonesia”,Raja Salman Sebut: Negara Termunafik Nomor Satu Indonesia BETUL 100 UNTUK BAGINDA RAJA SALMAN… :+1::+1:,TRUE
18,Sebanyak 700 tentara IDF menyerahkan diri kepada PBB,Cari selamat 700 tentara IDF menyerahkan diri ke PBB yang di pinpin oleh TNI,TRUE
19,Cerita Mike Tyson Sengaja Salat di Kafe yang Melarang Muslim Masuk ke Dalamnya,"Jadi, kalian harus tau nih, jadi ada sebuah kafe di Los Angeles Amerika yang mana si pemilik cafe nya nulis di depan kafenya. Orang muslim dilarang masuk nah ini nih, yang harus kalian tau tiba-tiba ada 3 orang muslim yang masuk ke dalam kafenya. Mereka masuk aja tuh gak beli apa-apa dan mereka bertiga ini langsung gelar sajadah langsung melaksanakan sholat asar berjamaah di cafe tersebut kan di lokasi itu tuh bukan hanya ada pemiliknya doang, tapi selain ada pemiliknya, ada juga orang-orang lain yang ngantri, sambil ngopi di sana ada juga sekuriti dan mereka semua diem gak berani mengusir 3 orang muslim yang sedang. Shalat disitu tau gak kenapa karena orang-orang yang sholat disitu yang pertama ada Mike tyson, orang juara tinju kelas berat dunia yang ke-2 ada sweden badou jack, dia itu juga seorang juara tinju dunia saat ini dan yang ke-3 yang menjadi imam adalah ammar abdullah adalah seorang juara cheek boxing daripada bogem dari para petinju dengan. Si milik cafe sama scurity nya pada diem aja deh kalo menurut pengen ga pimpit ke kafe itu.",TRUE
20, Air rebusan daun jeruk bisa menyembuhkan gigi sakit, Obat herbal sakit gigi,TRUE
21,Akun Tiruan Wa Ketua KPU Sinjai,0812 622 4448 Muhammad Rusmin,TRUE
22,Akun WA Staf dan Plt Kadis Kesehatan Buleleng,"Staf dinkes: Slmt siang Klinik: Thank you for contacting.. Staf dinkes: ijin disampaikan ke owner …,dimohon berkenan menghubungi Kepala DINKES (Bpak Dr. Arya Nugraha ) /mengirimkan kontak Kadinkes Arya Nugraha/ Bpak Kadinkes perihal urgent info lisan utk disampaikan Klinik: Selamat siang … segera kami follow up … dihubungi ibu … Staf dinkes: Terimakasih Bpak Kadinkes menunggu komunikasi ownernya segera nggih",TRUE
23,Akun WhatsApp Kajari Tala Munandar,"Selamat siang Adv Bp Abdul Latif, Mohon jin salam hormat saya dari: Bpk Munandar SH.M.H. KAJARI TANAH LAUT TERIMAKASIH",TRUE
24,Akun Tiruan WA Kepala Kejari Semarang Chandra Saptaji,0853 4373 1155 Chandra Saptaji,TRUE
25,Surat Bantuan Hibah Untuk UMKM 2024 Oleh Dinas Koperasi UKM Jateng,"Nomor : Sifat : Segera Lampiran : 1 (satu) Berkas Perihal : Undangan Peserta Sosialisasi Bantuan Hibah Untuk UMKM 224 Dalam rangka peningkatan kualitas sumber daya manusia (SDM) sector usaha UMKM, untuk mendukung pengembangan UMKM di Indonesia yang merupakan tulang punggung penggerak perekonomian nasional, pemerintah sebagai pemangku kebijakan terus berupaya berkolaborasi …. Mengingat pentingnya … agar bersedia hadir … dilaksanakan pada : Hari/Tgl : … Tempat : … Agenda : Penyetoran Bantuan … Pemodalan UMKM (Peserta Hadir) Penginapan peserta : Hotel Borobudur Selanjutnya disampaikan bahwa biaya transportasi dan akomodasi hotel untuk seluruh peserta ditanggung oleh KemenkopUKM Republik Indonesia yang akan ditransfer ke rekening bank atas nama masing-masing peserta pada saat melakukan pendaftaran (No ID Registrasi peserta) Kementerian KoperasiUKM RI Untuk informasi pendaftaran nama peserta langsung menghubungi panitia Bapak Drs H Sigiti Poerwanto Kontak Person 0819 4509 0486 (Formulir kirim Kembali) Demikian disampaikan. Atas perhatian dan keikutsertaannya diucapkan terima kasih",TRUE
26,Pasukan Berani Mati Bela Jokowi Bersenjata Celurit Ditangkap,Pasukan Berani Mati Bela Jokowi Bersenjata Celurit Ditangkap,TRUE
27,SINGA MENGGALI KUBURAN SENDIRI,"Entah amalan hidup apa yang oleh sang raja jalani semasa berkuasa, hingga mau matipun harus mengubur jasadnya sendiri :sob:",TRUE
28, Hoaks! Video Gibran Rakabuming Raka Sedang Make Up,"Beredar sebuah video tentang pria mirip Wakil Presiden terpilih Gibran Rakabuming Raka sedang di-make up oleh seorang wanita. Dalam video tersebut, Gibran terlihat memakai baju perempuan berwarna pink dan bando berwarna hitam. Di depannya, ada seorang wanita yang sedang memegang brush dan memberikan make-up kepadanya. Dalam video berdurasi 1.07 detik yang tersebar di berbagai aplikasi media sosial dan grup Whatsapp itu, video disertai dengan narasi Ampun dhe punya wakil kaya gini...hancur...????????????,. Benarkah informasi tersebut?",TRUE
29,Kemunculan Pokemon Pikacu Asli di Persawahan Warga,What pokemon asli :sweat_smile::laughing: ,TRUE
30,Michael Bambang Hartono Janjikan Bantuan 50 Juta ,"Di pwolo udah di share ach,  siapa tau di transfer oleh BPK, bambang hartono dapat uang 50 juta :smirk: iya pak, gak pake foya-foya kok tapi aku pake buat modal kawin pak. :grin::grin: ",TRUE
31,Akun Tiktok @hondajot572 Berisi Banyak Konten Giveaway,Ambil Hadiah Hubungi WhatsApp Admin. :arrow_down::arrow_down::arrow_down: wa[dot]me/message/JKQYVRMXQD ,TRUE
32,Konten Giveaway Mengatasnamakan Raffi Ahmad Dengan Challenge Tangkap Gambar,RP35 JUTA BAGI KALIAN YANG MAU SEPERTI BAPAK SIREGAR DARI BANDUNG    ,TRUE
33,Vaksin mRNA sebabkan MPOX,"Dokter Jerman Wolfgang Wodarg menawarkan pandangan alternatif mengenai cacar monyet lebih dari dua tahun yang lalu: Apa yang dianggap sebagai cacar monyet, dalam banyak kasus, sebenarnya adalah herpes zoster, salah satu efek samping yang diketahui dari vaksin COVID-19. Cacar adalah momok lain yang diciptakan untuk menutupi efek samping vaksin mRNA ",TRUE
34,Kemunculan Kepiting Raksasa di Kupang,2 kepiting raksasa menampakan diri dkupang:face_with_peeking_eye::face_with_peeking_eye::face_with_peeking_eye:  ,TRUE
35,Gelombang Tinggi Sebabkan Lombok Lenyap 10 September 2024," BENCANA ALAM HARI INI ~ LOMBOK SELATAN LENYAP, SETELAH GEMPA BALI AIR LAUT MASUK KE IBUKOTA ",TRUE
36,Maarten Paes Fasih Berbahasa Indonesia,Maarten Paes Paseh Bener Bahasa Indonesianya  ,TRUE
37,Bahaya Polikarbonat pada Galon Isi Ulang,"Saat ini, ada bermacam merek AMDK di pasaran namun konsumen yang bijak patut mencermati aspek keamanan dalam mengkonsumsinya. Temuan hasil uji migrasi BPA yg melebihi batas ambang toleransi pada produk kemasan plastik galon berbasis polikarbonat, berpotensi bahaya bagi kesehatan. ",TRUE
38,Festival Pesta Poin BRIMO,"Hai Hai sobat BRI..!! Yuk ikuti program Undian berhadiah FESTIVAL Pesta Poin BRIMO, khusus yang sudah menggunakan aplikasi BRImo bisa ikutan daftar secara Gratis..!! Sobat bisa memenangkan HADIAH GRAND PRIZE dan hadiah lain nya. Buruan daftar sekarang dengan cara Klik DAFTAR di bawah ini    :arrow_down::arrow_down: ",TRUE
39,Akun Tiktok @giveaway.baim.wonq Berisi Konten Giveaway,yang sudah tangkap gambar silahkan ambil hadiah Bosque di bawah ini :point_down::point_down::point_down::point_down::point_down: wa[dot]me/message/2E2ENWNF… ,TRUE
40,Artikel Berjudul Ustadz Abdul Somad Sebut Dirinya Setara dengan Paus Fransiskus,Oooh iya antum sangat betul ustadz.. Masyaallah. Ustadz Abdul Somad Sebut : Diri Nya Setara Dengan Paus Fransiskus.,TRUE
41,Mahasiswa Dihasut Demo 22 Agustus 2024 Ingin Melengserkan Jokowi dan Membatalkan Pelantikan Presiden Terpilih Ada Campur Tangan CIA,"Bendera CIA Mirip Dengan gambar Garuda Biru : Indonesia Darurat…. Apakah ini yang disebut  Oprerasi Warna  CIA di Indonesia.Isu operasi warna dipemilu 2024 katanya bekerja. Tapi capres yg diusung nya kalah. Mungkinkah mereka mbalas kekalahannya dg cara melengserkan jokowi dan membatalkan pelantikan presiden trpilih. Dengan menghasut mahasiswa demo besar2an dan didukung influencer populer dr pakar, NGO, artis, dll Logo sirine Indonesia darurat mirip dg logo CIA.. Backround warna Biru. Operasi warna tugasnya salah satunya operasi pemakzulan… Rakyat Indonesia waspada",TRUE
42,"Cacar Monyet Sudah sampai Brebes, Bupati Brebes jadi Korban Pertama”","Hari hati teman teman virus cacar monyet udh smpe ke Indonesia waspada bisa mengakibatkan kematian Jaga kesehatan utk rekan2 Virus Monyet sdh sampai Brebes, ini bupati Brebes korban pertama",TRUE
43,"Video BP2MI Berikan Bantuan Rp1,5 Miliar untuk 20 Pekerja Migran”","Saya yakin, melalui perubahan paradigma BP2MI akan lebih memberikan perlindungan menyeluruh bagi pekerja migran Indonesia dari Ujung rambut sampai Ujung kaki dan memastikan negara hadir dan hukum bekerja pekerja migran Indonesia layak mendapatkan bantuan uang tunai dari pemerintah dengan total Rp1,5 miliar untuk 20 pekerja migran. Dikarenakan dialah penyumbang devisa terbesar untuk negara. BANTUAN DANA TKI Assalamu Alaikum, Kami dari kantor BP2MI memberikan dana bantuan khususnya seluruh warga negara Indonesia yang bekerja di luar negeri. Bagi yang belum menerima dana bantuan tersebut diwajibkan untuk menghubungi kami secepatnya supaya segera kami cairkan. Dana bantuan dari Kantor BP2MI resmi diberikan kepada seluruh TKI sebesar Rp.75.000.000 Dari Badan Perlindungan Pekerja Migran Indonesia Dalam rangka program kesehatan kedisiplinan mentaati aturan dalam rangka pekerja sebagai TKI berasal dari Indonesia. Untuk info penerimaan dana bantuan segera hubungi Admin silakan Klik tombol pesan di bawah    Untuk melaporkan identitas lengkap penerima dana bantuan. Terimakasih.. ",TRUE
44,"Video Viral di China, Terekam Harimau dengan Posisi Duduk Layaknya Manusia”","Video ini viral di China, setelah seorang warga merekam harimau dengan posisi duduk layaknya manusia, video ini dikaitkan dengan sebuah cerita mistis kuno, salah satu mitos masyarakat Tiongkok yang terkenal adalah huren, yaitu manusia yang bisa berubah menjadi harimau.",TRUE
45,Video Reza Rahadian Bagikan Pengalaman Dapat Tambahan Rezeki dari Situs Judi Online,"Oke, kita kedatangan aktor terkenal Reza Rahadian yang mau menceritakan mendapatkan rezeki tambahan dari Madura 8 8 itu tuh gimana ceritanya bro reza? Iya, betul Sekali Praz, 1 hal yang besar di hidup gua itu dapetin rezeki sebanyak banyaknya keras nah ini gua mau ngasih tau ke elu atau ke temen-temen gua baru aja ketemu tempat yang bagus banget. Namanya Madura 8 8 yang Madura 8 8 ini adalah tempat permainan yang disukai banyak orang di Indonesia yang bikin lu bisa dapetin rezeki sampingan kayak gua contohnya nih ya, misalnya ada orang main kakek zeus atau princess. Terus dapet skater nah isinya kali 500 sampe 1.000 turun dan pecah dan j p di atas 2 juta emang bagus banget dan di sini macamnya juga gacor, dan sering banget pecah panjang jadi Madura 8 8 ini emang cocok banget untuk orang yang mau rezeki atau yang lagi PU jadi kalo ada. Temen-temen yang mau nyoba langsung cari aja Madura 8 8 setelah itu daftar dan mainkan aja sekarang.",TRUE
46,Bantuan Sosial Senilai Rp27.300.000 dari BPJS yang Diklaim dengan Mengirim Kode,"KEMENTRIAN KESEHATAN REPUBLIK_INDONESIA NOMOR:57011511374899/BPJS/VI/2024 PENGUMUMAN PENTING BAGI SELURUH MASYARAKAT INFORMASI PERIHAL DANA BANTUAN KEPADA SELURUH MASYARAKAT INDONESIA TAHUN 2024 Assalemualaikum Warahmatullahi Wabarakatuh Kepada YTH: SELURUH MASYARAKAT INDONESIA Penerima Dana Bansos Sehubungan dengan adanya Bantuan Dana Sosial yang diperuntukkan untuk Masyarakat, Pemerintah RI Melalui Kementrian Kesehatan RI Bekerjasama dengan BPJS Kesehatan dan BPJS Ketenagakerjaan memberikan Dana Bantuan Sosial Khususnya bagi Warga Negara Indonesia yang Belum Menerima Dana Bantuan, PROGRAM TAHUN 2024 Penguna Facebook Berkesempatan Menerima Bantuan Dari Program. BPJS KESEHATAN PUSAT DESEMBER 2024 KETIK KODE INI DAN KRIM DI MESSENGER DI BAWA INI DENGAN KODE (TQH77535) (KHUSUS MASYARAKAT DI INDONESIA MAUPUN MASYARAKAT DI LUAR INDONESIA) Senilai Rp.27.300.000 Dari SUBSIDI BPJS PENERIMA TERCEPAT YANG DAPAT MENERIMA DANA BANTUAN DARI PROGRAM SUBSIDI BPJS KESEHATAN 2>",TRUE
47,"Bukan Azan, Gibran Membisikan Lafaz Takbiran kepada Bayi Baru Lahir",Gibran Akhirnya tahu Beda Takbir dengan Azan,TRUE
48,"BMKG Prediksi Tsunami di Batam, Sekolah Diliburkan dari 18 September 2024”","Prediksi Tsunami di Batam: Sekolah Diliburkan dari 18 September 2024 hingga Keadaan Mereda Batam, 17 September 2024 Menyusul prediksi kemungkinan terjadinya tsunami, Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) telah mengeluarkan peringatan dini untuk wilayah Batam. Sebagai langkah pencegahan, semua sekolah dia Batam akan diliburkan mulai tanggal 18 September 2024 hingga situasi dianggap aman. BMKG menginformasikan bahwa potensi tsunami disebabkan oleh aktivitas seismik yang terdeteksi di perairan sekitar Batam. Oleh karena itu, pihak berwenang memutuskan untuk menutup semua institusi pendidikan selama periode tersebut untuk menjaga keselamatan siswa dan staf.",TRUE
49,Eks Menkes Terawan Agus Putranto Rekomendasikan Obat Prostatitis,"Metode inovatif untuk prostatitis dalam 9 hari. Dokter terkenal di seluruh negeri, Terawan menjawab telah membuktikan metode baru untuk mengobati prostatitis dalam 9 hari. Metode ini telah digunakan oleh lebih dari 147.000 orang di seluruh negeri",TRUE
50,Hadiah Rp 700.000 bagi Pengguna BRImo dari BRI,*Khusus Nasabah BankBRI yang Sudah Mempunyai BRImo. Ayo buruan Daftar Dapatkan uang tunai Rp.700.000 bagi setiap pengguna BRImo dan Menangkan undian BRI Festival agar kamu berkesempatan menjadi Pemenang.* Menangkan hadiah menarik lainnya berikut ini: 𝗚𝗿𝗮𝗻𝗱 𝗣𝗿𝗶𝘇𝗲 : ° 30 Unit Mobil HRV 𝗛𝗮𝗱𝗶𝗮𝗵 𝗟𝗮𝗶𝗻𝗻𝘆𝗮 : ° 20 Unit Mobil Fortuner GR ° 50 unit honda brio ° 200 motor beat street 2024 ° 250 IPhone 15 Pro Max ° 70 Kulkas LG Saksikan penarikan undian nya pada tanggal 25 September 2024 Biaya tagihan gratis di tanggung oleh Bank BRI.,TRUE
51,Restoran Domino Pizza Hina Umat Islam,"Tujukan setruk DOMINO PIZZA .. Coba d up, biar kasih tutup Restorn ternama ini, kerana menghina Islam dalam setruk tercatat STUPID ISLAM ( Islam yang Bodoh)",TRUE
52,Wabah Mpox Sudah Menyebar ke Nias,"Virus Monyet sdh sampai di Nias, sdh ada 78 kasus di rumah sakit. Mulai skrg pergunakan lg masker kalo ke tempat keramaian apalagi klo menjenguk pasien yg sakit di rumah sakit. Jaga sebaik mungkin imun tubuh, kurangi bergadang sehingga tidur yg cukup, habis megang uang langsung cuci tangan dg sabun, dan habis dari tempat keramaian langsung mandi, bajunya jgn dipakai lg, taroh / rendam ke tempat cucian utk menghindari virus yg menempel di pakaian tidak menular ke kita. Selamat malam, Yaahowu",TRUE
53,Mengatasi Tabung Gas Elpiji Bocor Dengan Merendamnya ke Air,Hal pertama saat keadaan darurat jangan panik :writing_hand: Tips jika tabung gas tiba bocor Angkat tabung msukn ke ember yg berisi air supaya bau gas nya tidak menyebar dan jgn kburu hidup kn api bila bau gas nya blum hilang ini berlaku buat yg Tingal di perumahan padat penduduk klau di desa mah lempar ja di kebon beres deh:relaxed:,TRUE
54,Gempa Luar Biasa Sapu Berau Hingga Kalimantan Timur,"KALIMANTAN TIMUR JEBOL! GEMPA LUAR BIASA SAPU BERAU, TERASA HINGGA IKN, GEMPA BERAU",TRUE
55,Tiket Pertandingan Timnas Bahrain Vs Indonesia Diborong 90 ribu Suporter Indonesia,"Mega Bintang Dunia Kaget ! Tiket Timnas vs Bahrain Diborong 90 Ribu Suporter Indonesia, Rekor Pecah",TRUE
56,Gibran Diduga Kuat Tak Berijazah SMA/SMK,GIBRAN DIDUGA KUAT TAK BERIJAZAH SMA/SMK,TRUE
57,Irwan Mussry Bagikan Uang 20 Juta,Berbagi rezeki kepada orang-orang yang membutuhkan,TRUE
58,Pelatih Bahrain Mengundurkan Diri Dari Piala Dunia Karena Takut Dengan Indonesia,"HEBOH ‼️ TAKUT LAWAN SKUAD TIMNAS INDONESIA, PELATIH BAHRAIN PILIH MUNDUR DARI PIALA DUNIA 2026",TRUE
59,"Bantuan Lewat WA Oleh Kakankemenag Aceh Besar Saifuddin
","Saya H. Saifuddin dari kantor Kementerian agama kabupaten Aceh Besar, salam silaturahmi Salam pak ada yang bisa saya bantu pak Kalau boleh tahu ini dengan bapak atau ibu siapa ya Ibu dewi Jadi begini bu, saya mewakili rekan rekan Kemenag ingin menyampaikan sedikit rezeki lebih, sedikit dana",TRUE
60,Surat Mengatasnamakan Mendikbudristek Tentang Pemecatan Kepala Sekolah,"NARASI:  Nomor : 13976/MPK.A/RN.05.05/2024 Lampiran : - Perihal : Perhatian Khusus 10 September 2024 Yth. 1. Walikota Bekasi 2. Kepala BKPSDM Kota Bekasi 3. Kepala Dinas Pendidikan Kota Bekasi Dalam rangka monitoring dan kontroling …. Pendidikan yang dilaksanakan oleh Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi terhadap para Kepala Sekolah yang mendapatkan jabatannya melalui tahap-tahap program penggerak. Dengan ini saya atas nama Menteri Pendidikan, Kebudayaan, Riset dan Teknologi … menginstruksikan untuk mencopot jabatan Kepa;a Sekolah atas nama: … Demikian kami sampaikan untuk dapat menjadi perhatian dan dilaksanakan dengan penuh tanggung jawab. Atas perhatian … kami sampaikan terima kasih.",TRUE
61,"Bacalon Bupati Aceh Tengah Tawarkan Bantuan Lewat Facebook 
",Assalamualaikum Himbauan pemberitahuan Ku masyarakat Aceh tengah bener meriah siapa yang belum menerima bantuan dan mendaftarkan bantuan silakan trahir pada hari ni tentang bantuan tunai RP39000.00. Dengan persaratan pendaftaran KK KTP nmr rekning.bayar inpak.250 ribu. Langsung cair tidak ada istilah ribet ,TRUE
62,AKUN FACEBOOK MENDES PDTT ABDUL HALIM ISKANDAR M,[Abdul Halim Iskandar M]: Assalamualaikum wr wb [Abdul Halim Iskandar M]: Salam sehat dan sejahtera selalu [Abdul Halim Iskandar M]: mohon maaf sebeumnya.Minta waktunya sebentar Alhamdulillah ini ada rejeki dari Allah SWT Saya berniat menyalurkan donasi keluarga besar saya untuk keperluan pembangunan tempat 2 ibadah / tempat TPQ / tempat Yayasan//tempat Pendidikan Barangkali untuk yang saya tanyakan ada mohon di konfirmasikan langsung.terima kasih sebelumnya,TRUE
63,"Testimoni Penerima Hadiah Giveaway 30 Juta Raffi Ahmad
","Syalom,puji Tuhan, Terima kepada pak Raffi Ahmad Dan mba Nagita Slavina semoga Tuhan Yesus memberkati Raffi ahmad beserta keluarga dan RANS ENTERTAINMENT, Telah memilih Saya Sebagai Pemenang Dari Kuis GIVEAWAY RANS ENTERTAINMENT nya Pak Raffi ahmad…. ternyata beneran dan saya sudah menerima uang 30 jt dari Raffi Ahmad , kalau mo ikutan, crnya langsung hubungi saja WhatsApp GIVE AWAY nya di bawah ini kalau mau ikutan dpat uang 30 jt dari pak RAFFI AHMAD https://wa[dot]me/message/AEFGJHCOV2C4K1 (0852-6202-7952) Terus crnya menghubungi sprti ini SAYA MAU IKUT GIVE AWAY semoga teman teman bisa terpilih juga seperti saya amin… Syalom. ",TRUE
64,"Luhut Binsar Panjaitan Memarahi Najwa Shihab Terkait Postingan Peringatan Darurat”
",rasain najwa dimarahin opung luhut ,TRUE
65,"Akun Tiktok Tiruan Hary Tanoe Berisi Bagi-bagi Hadiah
",Informasi hadiah lanjut hubungi WhatsApp admin di bawah ini 👇👇,TRUE
66,"Uang Tunai 35 Juta dari Raffi dan Nagita di Tiktok
",Jika foto ini muncul di beranda kamu itu artinya kamu dapat 35jt cash dari saya. ,TRUE
67,"TNI dan Mahasiswa Bekerja Sama Menyeret Jokowi dari Istana
",BERITA TERKINI ~ TNI DAN MAHASISWA SERET PAKSA JOKOWI DARI ISTANA? – KABAR AKURAT ,TRUE
68,"Sidang Pemakzulan Jokowi Telah Dilaksanakan
",AKHIRNYA DIMAKZULKAN RAPAT ISTIMEWA PRESIDEN JATUHKAN RESIM DARI TAHTA ,TRUE
69,"Video Seekor Naga Kecil di Dalam Akuarium
",pas mancing di kolam g sengaja liat babi dan ikan kalau di tempat kalian namanya apa.? ,TRUE
70,"Ikan Berkepala Mirip Babi
",pas mancing di kolam g sengaja liat babi dan ikan kalau di tempat kalian namanya apa.? ,TRUE
71,"Link Lowongan Kerja PT Freeport di Facebook
",Kementerian perhubungan membuka lowongan kerja BUMN besar-besaran bagi minimal sma dengan posisi klik link di bawah: ,TRUE
72,"Penyambutan Paus Fransiskus Oleh Umat Muslim di Masjid Istiqlal
","Hanya ada di jaman Jokowi, masjid di jadikan sebagai ajang hiburan oleh jemaat gereja Kristen utk nyanyi nyanyi menyambut kedatangan Paus Fransiskus di Masjid Istiqlal Jakarta. Rusaaaaak , Ancur amcuran. Kedatangan Paus Fransiskus bukan menghidupkan toleransi, tapi merusak akidah Islam . Lihat jemaat gereja Kristen dg pakaian sinterklas nyanyi nyanyi paduan suara di masjid ISTIQLAL Jakarta",TRUE
